zipcode,eScore,fuelOil1,fuelOil2,fuelOil4,districtSteamUse,naturalGasUse
10001,78,\N,\N,\N,\N,23631860
10003,13,\N,\N,\N,\N,18494800
10020,100,\N,\N,\N,\N,\N
10022,80,\N,\N,\N,\N,8293000
10032,44,\N,\N,4783398,\N,13590
10033,34,\N,\N,\N,\N,2880013
10453,31,\N,\N,3794540,\N,174486
10457,\N,\N,\N,\N,\N,163010347
10467,48,\N,\N,\N,\N,1954638.5
10468,87,\N,\N,\N,\N,2995197
10474,75,\N,\N,\N,\N,1080332
10705,72,\N,\N,\N,\N,4965704
10977,59,\N,\N,\N,\N,5083200
11001,98,\N,\N,\N,\N,\N
111201,68,\N,\N,\N,\N,1894400
11124,\N,\N,\N,\N,\N,\N
11201,62.8562,\N,1411269.696,4437205.7,16734245,6736788.958
11202,28,\N,\N,\N,\N,5870100
11203,45.1462,\N,501427.2308,2474985,\N,10284985.13
11204,52.8519,\N,717714.1154,5691518,\N,3457546.391
11205,70.1345,\N,602664.8571,3866644.5,\N,4472667.268
11206,66.3353,\N,1117222.824,5198179,\N,8002104.653
112063812,16,\N,\N,\N,\N,3629284.5
11207,54.0734,2502000,1020619.563,5479521.6,\N,5538200.705
112073442,17,\N,\N,\N,\N,17048160
112074037,11,\N,\N,\N,\N,10844411.5
11208,51.75,\N,913488.5294,14108951.5,\N,5651531.62
11209,59.9907,\N,624906.0714,4079108.333,\N,4396513.784
112094412,54,\N,\N,\N,\N,13723
11210,54.048,\N,400836.6667,3905305.333,2062826,7388350.885
11211,61.7532,\N,1630258.52,8744852.5,\N,2755411.755
11212,52.6364,\N,879365.1739,2788429.2,\N,4066735.108
112126939,4,\N,\N,\N,\N,40344001
11213,56.2848,\N,1100880.333,3461484.889,\N,3773849.145
11214,53.2642,\N,1447678.421,9218267.5,\N,4360329.297
11215,62.8492,\N,661690.9655,3022929.75,\N,3416741.586
11216,54.9495,\N,370533.2941,5378397,\N,3566432.704
11217,69.4808,\N,2515617.529,833752.3333,\N,3499078.75
11218,59.3333,\N,1341018.458,6507205,\N,3917316.919
11218-2008,16,\N,\N,\N,\N,1418200
11219,55.4624,\N,761822.5769,5558873.5,\N,5726642.896
11220,55.6404,0,736500.3636,3625034,\N,3706872.588
11221,62.9469,\N,1890737.35,6706656,\N,3188024.016
112211760,36,\N,\N,\N,\N,15031814
11222,71.0274,\N,1899724.273,2330650,\N,3527667.643
11223,65.3415,\N,575933.7826,7056326.333,\N,4361130.369
11224,54.9219,\N,680560.8333,5937674,\N,31549672.45
11225,54.3286,\N,1674693.813,2318511.857,\N,5005437.553
11226,57.1514,0,704772.7818,2169910.4,\N,4039266.355
11228,51.2917,\N,1362811.333,1575194,\N,5034703.677
11229,60.375,\N,520773.5758,5356594,\N,4404471.76
11229-5203,\N,\N,\N,\N,\N,\N
112290523,30,\N,\N,\N,\N,5653300
11230,56.8611,\N,577778.0385,5652034.833,\N,4099628.21
11231,66.9483,\N,338529.7143,5763934,\N,2459234.423
11232,61.726,\N,1852106.539,1828139,\N,4890310.711
11232-1034,11,\N,\N,\N,\N,3424328
11232-3165,79,\N,\N,\N,\N,2064500
11233,58.1591,\N,828621,6553940,\N,3054778.276
11234,68.6567,\N,958730.6471,1769228,\N,3472608.276
11235,62.7882,0,1481772.058,1908094.125,\N,6488527.829
11236,52.1667,\N,1130491.625,7365164.667,\N,3901287.174
11236-2120,40,\N,\N,\N,\N,4371339
11237,61.9143,\N,1290719.857,2044584,\N,3074177.279
11238,65.7778,2015611,1551832.107,3540670.333,\N,3847645.884
11239,60.65,\N,51051507,5241692,\N,86390010.39
11239-2805,58,\N,\N,\N,\N,267000
11241,89.5,\N,\N,9300448,\N,21364
11242,94,\N,\N,\N,\N,8433900
11243,3,\N,\N,\N,\N,24327600
11245,34,\N,165462,\N,\N,1381866.667
11249,63.0971,\N,13785611,\N,\N,3662895.81
11255,73,\N,475548,\N,\N,5676800
1126,\N,\N,\N,\N,\N,\N
11435,59,\N,0,\N,\N,3628137
11720,\N,\N,\N,\N,\N,326600
